item_description,total_sales,cumulative_sales,revenue_share,segment
BUD 18PK 16OZ CAN - 16OZ,2404.05,432663.47999999986,0.41960622794753805,A
TITO'S HANDMADE VODKA - 1.75L,2378.9900000000002,435042.46999999986,0.4219134229532846,A
CORONITA LOOSE NR 24/CS - 7OZ,2349.0,437391.46999999986,0.42419153302037127,A
YUENGLING LAGER LOOSE CAN - 12OZ,2316.96,439708.4299999999,0.4264385700152786,A
BUD 2/12 CAN - 12OZ,2191.0,441899.4299999999,0.42856344832817217,A
MILLER LITE BIG 18 PK CANS - 16OZ,2183.94,444083.3699999999,0.4306814797031885,A
FLYING DOG RAGING BITCH BELGIAN IPA -NR,2161.55,446244.91999999987,0.4327777967808859,A
CORONA EXTRA 18PK CAN 12OZ,2136.0,448380.91999999987,0.43484933492618055,A
MODELO ESPECIAL CANS 12/CS - 24OZ,2110.94,450491.85999999987,0.43689656935147475,A
BUD LIGHT 4/6 NR,2051.75,452543.60999999987,0.4388864000582202,A
BUD LIGHT 18PK NR,2051.0,454594.60999999987,0.4408755033990439,A
MIKES LEMONADE 4/6 NR - 11.2OZ,2045.86,456640.46999999986,0.44285962185875016,A
COORS LIGHT 18PK CANS - 16OZ,2011.6100000000001,458652.07999999984,0.4448105239413607,A
STEEL RESERVE 12/24OZ CAN - 24OZ,2006.33,460658.40999999986,0.44675630536788186,A
FLYING DOG DBL DOG PALE ALE 4/6 NR - 12OZ,2004.48,462662.88999999984,0.44870029262512917,A
COORS LIGHT ALUM 2/9 NR - 16OZ,1978.0,464640.88999999984,0.4506185990162307,A
MILWAUKEE BEST 2/15PK CAN - 12OZ,1947.5,466588.38999999984,0.4525073258598456,A
AMSTEL LIGHT LOOSE NR - 12OZ,1916.92,468505.3099999998,0.45436639557027547,A
TRULY SPIKED & SPARKLING CITRUS VARIETY 12PK 12 0ZCAN,1886.0,470391.3099999998,0.4561954784083025,A
YUENGLING LAGER LOOSE NR - 12OZ,1882.0,472273.3099999998,0.45802068196141327,A
COORS LT 2/12 LNNR - 12OZ,1827.6599999999999,474100.9699999998,0.4597931854289363,A
NB FAT TIRE 4/6 NR - 12OZ,1801.77,475902.7399999998,0.4615405802248388,A
TRULY SPIKED & SPARKLING BERRY VARIETY 12 PK CAN,1768.62,477671.3599999998,0.4632558254469975,A
MILWAUKEE BEST LT 2/15PK CAN - 12OZ,1748.0,479419.3599999998,0.4649510729554128,A
MILLER LITE 12/24OZ CAN - 24OZ,1733.67,481153.0299999998,0.4666324229256155,A
MILWAUKEE BEST ICE CANS - 24OZ,1724.4900000000002,482877.5199999998,0.4683048699369354,A
YUENGLING LAGER 2/12 CAN - 12OZ,1723.1599999999999,484600.67999999976,0.46997602708602054,A
HEINEKEN 12/22.OZ NR - 22OZ,1711.58,486312.2599999998,0.4716359537052731,A
FOUNDERS ALL DAY 1/15PK CANS,1704.6,488016.85999999975,0.47328911097234677,A
FOSTER LAGER 12/25.4OZ CAN - 25.4OZ,1692.08,489708.93999999977,0.47493012607763246,A
BUD LIGHT 15/25OZ CANS,1665.27,491374.2099999998,0.4765451402757668,A
BUD 2/12 LNNR - 12OZ,1635.96,493010.1699999998,0.478131729013677,A
DOGFISH HEAD 60 MIN IPA 2/12 CAN,1590.2,494600.3699999998,0.47967393873214503,A
MICHELOB ULTRA 4/6 NR - 12OZ,1580.1599999999999,496180.5299999998,0.4812064114454731,A
MICHELOB ULTRA 18PK CAN - 12OZ,1579.0,497759.5299999998,0.4827377591661755,A
DOGFISH HEAD 60 MIN IPA 4/6 NR - 12OZ,1577.75,499337.2799999998,0.48426789461034153,A
BUD LIGHT PLATINUM 2/12 NR - 12OZ,1536.0,500873.2799999998,0.4857575400181939,A
CORONA LIGHT LOOSE NR - 12OZ,1535.0,502408.2799999998,0.4872462156048172,A
BUD LIGHT 24/12 PREPRINT LSE NR,1534.92,503943.1999999998,0.4887348136057421,A
BUD LIGHT 3/8PK 16OZ CALNR - 16OZ,1528.3600000000001,505471.55999999976,0.4902170495794044,A
CORONA LT 2/12 NR - 12OZ,1519.1599999999999,506990.71999999974,0.49169036319775916,A
MILLER HIGH LIFE 18PK NR - 12OZ,1519.0,508509.71999999974,0.4931635216447173,A
BUSCH 30PK CAN - 12OZ,1506.77,510016.48999999976,0.49462481917804396,A
COORS LT 4/6 LNNR - 12OZ,1484.71,511501.1999999998,0.4960647224550573,A
KEYSTONE ICE 12/24OZ CAN - 24OZ,1459.84,512961.0399999998,0.49748050627810364,A
FLYING DOG BLOODLINE 4/6NR - 12OZ,1456.48,514417.5199999998,0.4988930315018203,A
MODELO ESPECIAL-4/6 CAN - 12OZ,1434.96,515852.4799999998,0.5002846861726874,A
HEINEKEN 4/6 CAN - 12OZ,1433.29,517285.7699999998,0.5016747212421019,A
HEINEKEN LIGHT 2/12 NR - 12OZ,1411.78,518697.5499999998,0.5030438954568791,A
BUD 4/6 LNNR - 12OZ,1394.96,520092.50999999983,0.5043967572785834,A
MILLER HIGH LIFE 30PK CAN - 12OZ,1370.8,521463.3099999998,0.5057261882193933,A
TECATE 2/12 CAN - 12OZ,1365.5,522828.8099999998,0.5070504791076891,A
MILLER LITE 18PK LNNR - 12OZ,1363.0,524191.8099999998,0.5083723454429122,A
MICHELOB ULTRA 24/12 PREPRINT LSE-NR,1350.92,525542.7299999999,0.5096824963376883,A
CUSQUENA BEER-PERU 4/6 NR - 12OZ,1345.95,526888.6799999998,0.5109878272209557,A
COORS LT 12/24OZ CAN - 24OZ,1328.42,528217.0999999999,0.5122761571380776,A
SUTTER HOME CHARD - 187ML,1327.79,529544.8899999999,0.5135638760678253,A
HEINEKEN 6/4 16OZ CAN - 16OZ,1279.46,530824.3499999999,0.5148047235375718,A
DOS EQUIS LAGER 4/6 NR - 12OZ,1267.75,532092.0999999999,0.516034214400726,A
FLYING DOG VARIETY PACK 2/12 NR - 12OZ,1266.9099999999999,533359.0099999999,0.5172628906140478,A
NATURAL ICE CANS 15/CS - 25OZ,1264.87,534623.8799999999,0.5184895883920623,A
SIERRA NEVADA PALE ALE 4/6 NR - 12OZ,1257.7,535881.5799999998,0.5197093325518642,A
SAM ADAMS BOSTON LAGER 2/12 NR - 12OZ,1249.04,537130.6199999999,0.5209206780598226,A
SMIRNOFF PARTY PACK 2/12 NR - 11.2OZ,1249.0,538379.6199999999,0.5221319847749316,A
ICEHOUSE EDGE CANS 12/CS - 24OZ,1220.1599999999999,539599.7799999999,0.5233153218457944,A
BECKS 2/12 NR - 12OZ,1218.5,540818.2799999999,0.5244970490134169,A
SAM ADAMS BOSTON LAGER 4/6 LN - 12OZ,1203.25,542021.5299999999,0.525663986407296,A
CORONA EXTRA SUITCASE CANS,1195.0,543216.5299999999,0.5268229227760353,A
AMSTEL LIGHT 2/12 NR - 12OZ,1170.5,544387.0299999999,0.5279580985246624,A
CORONA LT 4/6 NR - 12OZ,1166.95,545553.9799999999,0.5290898314079262,A
CORONA FAMILIAR NR - 32OZ,1146.16,546700.1399999999,0.5302014017078377,A
NEGRA MODELO 4/6 NR - 12OZ,1139.03,547839.1699999999,0.5313060571823859,A
PERONI 4/6 NR - 12OZ,1133.2,548972.3699999999,0.5324050585991686,A
BUD LIGHT LIME 2/12 NR - 12OZ,1128.0,550100.3699999999,0.5334990169455602,A
GOOSE ISLAND IPA 4/6 NR - 12OZ,1118.25,551218.6199999999,0.5345835195349683,A
MILLER HIGH LIFE 2/12 LNNR - 12OZ,1113.5,552332.1199999999,0.5356634154735384,A
RITAS STRAW-BER-RITA 15/25OZ CAN,1105.22,553437.3399999999,0.5367352812923317,A
BUD LIGHT PLATINUM 4/6 NR - 12OZ,1100.0,554537.3399999999,0.5378020846443093,A
DC BRAU CORRUPTION IPA 4/6 CANS - 12OZ,1091.95,555629.2899999998,0.5388610809353929,A
BUD LIGHT PLATINUM 18PK NR - 12OZ,1091.0,556720.2899999998,0.5399191558963088,A
SIERRA NEVADA HAZY LITTLE THING IPA 4/6 CAN - 12OZ,1085.25,557805.5399999998,0.5409716543851576,A
NATURAL ICE 30PK CAN - 12OZ,1057.8,558863.3399999999,0.5419975312812685,A
LAGUNITAS IPA 4/6 NR - 12OZ,1057.53,559920.8699999999,0.5430231463256475,A
BUD LIGHT CHELADA CANS 15/CS - 25OZ,1053.01,560973.8799999999,0.544044377778071,A
COORS LIGHT HIGH GRAPHICS LOOSE NR - 12OZ,1052.0,562025.8799999999,0.5450646297110533,A
SMIRNOFF ICE MANGO 4/6 NR - 11.2OZ,1046.41,563072.2899999999,0.546079460343365,A
SCHLITZ HIGH GRAVITY CANS - 24OZ,1042.33,564114.6199999999,0.547090334105062,A
HEINEKEN & 0.0  1/15 MIX CAN,1033.0,565147.6199999999,0.5480921594346919,A
HEINEKEN 4/6NR - 7OZ,1024.1799999999998,566171.7999999999,0.5490854309410814,A
FOSTER PREMIUM ALE 12/25.4Z CAN - 25.4OZ,1023.3699999999999,567195.1699999999,0.5500779168922754,A
MILLER HIGH LIFE 2/12 CAN - 12OZ,1023.0,568218.1699999999,0.5510700440096146,A
RITAS-LIME-A-RITA 15/25OZ CAN,1016.9200000000001,569235.09,0.552056274613881,A
DOGFISH HEAD SLIGHTLY MIGHTY LO-CAL IPA 2/12PK 12OZ CAN,1010.5,570245.59,0.5530362789658567,A
CORONA EXTRA 12/24OZ NR - 24OZ,1005.1600000000001,571250.75,0.5540111044724694,A
HEINEKEN 0.0 NA 4/6PK 11.2.OZ NR,992.0600000000001,572242.81,0.5549732253209811,A
OLDE ENGLISH 12/42OZ NR,986.9200000000001,573229.7300000001,0.5559303612883755,A
RED STRIPE 4/6 NR - 12OZ,985.45,574215.18,0.556886071618563,A
SAPPORO 12/22OZ CAN - 22OZ,984.97,575200.15,0.5578413164345606,A
BUD ICE 15/25OZ CANS,984.3900000000001,576184.54,0.5587959987542453,A
NATTY DADDY 2/15PK 12OZ CAN,981.0,577165.54,0.5597473933799635,A
BLUE MOON MANGO WHEAT NR,980.25,578145.79,0.5606980606397599,A
SIERRA NEVADA PALE ALE 2/12 CAN - 12OZ,978.5,579124.29,0.5616470307124055,A
APOTHIC CAL RED BLEND - 750ML,974.18,580098.4700000001,0.5625918111573415,A
MICHELOB ULTRA 18PK NR - 12OZ,972.0,581070.4700000001,0.563534477391998,A
ICEHOUSE CANS - 24OZ,966.76,582037.2300000001,0.5644720617634142,A
BUD LIGHT 18PK 16OZ CAN,963.77,583001.0000000001,0.5654067463693556,A
WHITE CLAW HARD BL CHERRY SELTZER 4/6 CANS,963.25,583964.2500000001,0.5663409266682579,A
BUD 18PK LNNR - 12OZ,963.0,584927.2500000001,0.5672748645118527,A
LEINENKUGEL SUMMER SHANDY 4/6 NR - 12OZ,947.8299999999999,585875.0800000001,0.5681940901674026,A
PABST 2/12 CAN - 12OZ,935.5,586810.5800000001,0.5691013579271981,A
GUINNESS BLONDE 4/6NR - 12OZ,934.98,587745.56,0.5700081213799545,A
DOGFISH HEAD 90 MINUTE IMPERIAL IPA 4/6 NR,915.16,588660.7200000001,0.5708956629759507,A
EVOLUTION LOT #3 IPA  4/6NR - 12OZ,914.6600000000001,589575.3800000001,0.5717827196613324,A
TRULY TROPICAL VARIETY 2/12PK 120Z SLIM CANS,909.5,590484.8800000001,0.5726647720691721,A
BOWMAN'S VODKA - 1.75L,906.4200000000001,591391.3000000002,0.5735438374276263,A
K JACKSON VINT RES CHARD - 750ML,903.6600000000001,592294.9600000002,0.5744202260794882,A
NEGRA MODELO 2/12 NR - 12OZ,886.54,593181.5000000002,0.5752800113919084,A
VICTORY SOUR MONKEY 4/6 NR,882.5,594064.0000000002,0.5761358786265631,A
MILLER GEN DRAFT 2/12 LNNR - 12OZ,882.0,594946.0000000002,0.5769912609506034,A
GUINNESS STOUT NR - 22OZ,879.3100000000001,595825.3100000003,0.5778440344555374,A
YELLOW TAIL CHARD - 1.5L,876.4300000000001,596701.7400000003,0.5786940148753318,A
JACK DANIELS BLACK - 1.75L,868.8,597570.5400000004,0.5795365955591483,A
LEFFE BLONDE 4/6NR - 11.2OZ,863.25,598433.7900000004,0.5803737937351434,A
TITO'S HANDMADE VODKA - 1L,846.81,599280.6000000004,0.5811950480501328,A
STELLA ARTOIS 1/2K,841.0,600121.6000000004,0.5820106677037811,A
NATIONAL BOHEMIAN 2/12-CAN - 12OZ,840.5,600962.1000000004,0.5828258024468148,A
TITO'S HANDMADE VODKA - 750ML,836.94,601799.0400000004,0.5836374846262731,A
CORONA PREMIER 2/12PK 12 OZ NR,829.0,602628.0400000004,0.5844414664251726,A
CORONA PREMIER 4/6PK 12 OZ NR,825.25,603453.2900000004,0.5852418113944631,A
GUINNESS STOUT 2/12 NR - 12OZ,823.04,604276.3300000004,0.5860400130588372,A
FLYING DOG VARIETY PACK 2/12PK 12OZ CAN,814.04,605090.3700000005,0.5868294863321499,A
LA MARCA PROSECCO - 750ML,809.3900000000001,605899.7600000005,0.5876144499367474,A
VICTORY GOLDEN MONKEY 4/6 NR,807.8299999999999,606707.5900000004,0.5883979006202273,A
PILSNER URQUELL 4/6 NR - 12OZ,806.5,607514.0900000004,0.5891800614414727,A
VICTORIA 2/12NR - 12OZ,805.0,608319.0900000004,0.5899607675308746,A
SMIRNOFF ICE 4/6 NR - 12OZ,798.9,609117.9900000005,0.590735557710779,A
JACK DANIELS BLACK - 750ML,793.56,609911.5500000005,0.5915051690453202,A
NB TRIPPEL BELGIAN STYLE ALE 4/6NR - 12OZ,780.12,610691.6700000005,0.5922617459825428,A
GUINNESS DRAFT 6/4 CANS - 14.9OZ,779.88,611471.5500000005,0.5930180901626704,A
ANGRY ORCHARD GREEN APPLE 4/6NR - 12OZ,777.25,612248.8000000005,0.5937718837129654,A
